Canale,durata(s)
EEGF3,0.609375
EEGF3,0.9140625
EEGF3,0.609375
EEGF3,1.21875
EEGF3,0.8125
EEGF3,1.21875
EEGF3,1.21875
EEGF3,0.7109375
EEGF3,1.21875
EEGF3,0.7109375
EEGF3,1.1171875
EEGF3,1.3203125
EEGF3,1.21875
EEGF3,1.015625
EEGF3,1.421875
EEGF3,0.9140625
EEGF3,1.421875
EEGF3,1.625
EEGF3,0.9140625
EEGF3,1.1171875
EEGF3,0.8125
EEGF3,1.828125
EEGF3,0.7109375
EEGF3,1.21875
EEGF3,1.015625
EEGF3,0.7109375
EEGF3,1.015625
EEGF3,0.609375
EEGF3,0.8125
EEGF3,0.609375
EEGF3,1.21875
EEGF3,1.625
EEGF3,1.21875
EEGF3,0.8125
EEGF3,0.609375
EEGF3,1.421875
EEGF3,0.8125
EEGF3,0.7109375
EEGF3,1.015625
EEGF3,0.9140625
EEGF3,0.609375
EEGF3,1.1171875
EEGF3,1.5234375
EEGF3,0.8125
EEGF3,0.8125
EEGF3,0.609375
EEGF3,1.1171875
EEGF3,0.7109375
EEGF3,1.015625
EEGF3,0.609375
EEGF3,1.421875
EEGF3,0.7109375
EEGF3,0.609375
EEGF3,1.015625
EEGF3,1.015625
EEGF3,0.609375
EEGF3,0.8125
EEGF3,0.8125
EEGF3,0.9140625
EEGF3,0.8125
EEGF3,0.9140625
EEGF3,1.1171875
EEGF3,0.609375
EEGF3,0.8125
EEGF3,0.8125
EEGF3,0.609375
EEGF3,0.7109375
EEGF3,0.7109375
EEGF3,1.7265625
EEGF3,1.21875
EEGF3,2.1328125
EEGF3,1.625
EEGF3,1.015625
EEGF3,0.609375
EEGF3,1.828125
EEGF3,1.5234375
EEGF3,1.21875
EEGF3,7.3125
EEGF3,1.1171875
EEGF3,1.7265625
EEGF3,1.828125
EEGF3,0.9140625
EEGF3,2.84375
EEGF3,0.609375
EEGF3,5.5859375
EEGF3,1.21875
EEGF3,0.609375
EEGF3,2.3359375
EEGF3,7.109375
EEGF3,0.9140625
EEGF3,5.890625
EEGF3,0.9140625
EEGF3,2.234375
EEGF3,2.03125
EEGF3,0.7109375
EEGF3,4.1640625
EEGF3,2.84375
EEGF3,0.7109375
EEGF3,2.234375
EEGF3,2.1328125
EEGF3,1.3203125
EEGF3,0.7109375
EEGF3,0.609375
EEGF3,2.4375
EEGF3,0.9140625
EEGF3,2.3359375
EEGF3,1.625
EEGF3,1.421875
EEGF3,0.8125
EEGF3,0.609375
EEGF3,3.3515625
EEGF3,0.609375
EEGF3,0.8125
EEGF3,6.703125
EEGF3,4.5703125
EEGF3,4.0625
EEGF3,1.015625
EEGF3,1.015625
EEGF3,1.7265625
EEGF3,0.8125
EEGF3,2.640625
EEGF3,3.7578125
EEGF3,3.046875
EEGF3,0.609375
EEGF3,1.015625
EEGF3,2.84375
EEGF3,0.7109375
EEGF3,6.5
EEGF3,3.859375
EEGF3,0.609375
EEGF3,0.7109375
EEGF3,0.8125
EEGF3,2.84375
EEGF3,1.1171875
EEGF3,4.5703125
EEGF3,1.828125
EEGF3,0.9140625
EEGF3,2.234375
EEGF3,6.8046875
EEGF3,1.625
EEGF3,1.3203125
EEGF3,4.9765625
EEGF3,8.53125
EEGF3,9.546875
EEGF3,1.5234375
EEGF3,0.7109375
EEGF3,1.9296875
EEGF3,1.5234375
EEGF3,1.421875
EEGF3,0.8125
EEGF3,2.84375
EEGF3,0.609375
EEGF3,0.7109375
EEGF3,1.625
EEGF3,3.3515625
EEGF3,1.421875
EEGFz,3.7578125
EEGFz,4.5703125
EEGFz,0.7109375
EEGFz,1.21875
EEGFz,0.7109375
EEGFz,0.7109375
EEGFz,2.3359375
EEGFz,1.625
EEGFz,1.421875
EEGFz,2.5390625
EEGFz,1.21875
EEGFz,0.9140625
EEGFz,1.015625
EEGFz,3.7578125
EEGFz,0.609375
EEGFz,8.4296875
EEGFz,1.625
EEGFz,2.640625
EEGFz,1.5234375
EEGFz,1.1171875
EEGFz,0.7109375
EEGFz,3.9609375
EEGFz,2.84375
EEGFz,5.078125
EEGFz,0.609375
EEGFz,1.7265625
EEGFz,4.1640625
EEGFz,0.609375
EEGFz,0.9140625
EEGFz,1.3203125
EEGFz,5.078125
EEGFz,0.7109375
EEGFz,4.1640625
EEGFz,1.3203125
EEGFz,1.625
EEGFz,0.9140625
EEGFz,1.3203125
EEGFz,6.296875
EEGFz,0.609375
EEGFz,1.5234375
EEGFz,1.21875
EEGFz,4.3671875
EEGFz,0.9140625
EEGFz,1.015625
EEGFz,4.3671875
EEGFz,2.7421875
EEGFz,1.421875
EEGFz,1.21875
EEGFz,0.7109375
EEGFz,2.234375
EEGFz,2.3359375
EEGFz,0.8125
EEGFz,2.3359375
EEGFz,3.5546875
EEGFz,1.015625
EEGFz,1.421875
EEGFz,1.421875
EEGFz,2.84375
EEGFz,0.609375
EEGFz,1.015625
EEGFz,1.5234375
EEGFz,1.625
EEGFz,2.3359375
EEGFz,1.21875
EEGFz,0.609375
EEGFz,0.8125
EEGFz,1.3203125
EEGFz,2.640625
EEGFz,2.4375
EEGFz,0.7109375
EEGFz,0.609375
EEGFz,0.609375
EEGFz,1.015625
EEGFz,1.9296875
EEGFz,1.1171875
EEGFz,2.1328125
EEGFz,0.7109375
EEGFz,0.609375
EEGFz,0.9140625
EEGFz,1.7265625
EEGFz,0.8125
EEGFz,4.671875
EEGFz,0.8125
EEGFz,0.609375
EEGFz,0.609375
EEGFz,0.7109375
EEGFz,0.7109375
EEGFz,0.7109375
EEGFz,0.609375
EEGFz,1.421875
EEGFz,0.9140625
EEGFz,1.015625
EEGFz,1.3203125
EEGFz,0.9140625
EEGFz,0.8125
EEGFz,2.7421875
EEGFz,1.5234375
EEGFz,0.609375
EEGFz,0.7109375
EEGFz,0.8125
EEGFz,0.9140625
EEGFz,0.9140625
EEGFz,0.609375
EEGFz,0.8125
EEGFz,0.609375
EEGFz,1.1171875
EEGFz,1.625
EEGFz,1.5234375
EEGFz,1.1171875
EEGFz,0.609375
EEGFz,1.421875
EEGFz,1.421875
EEGFz,0.8125
EEGFz,0.609375
EEGFz,0.609375
EEGFz,0.609375
EEGFz,0.609375
EEGFz,1.5234375
EEGFz,0.9140625
EEGFz,0.609375
EEGFz,0.609375
EEGFz,1.015625
EEGFz,1.21875
EEGFz,0.8125
EEGFz,0.9140625
EEGFz,0.609375
EEGFz,0.9140625
EEGFz,0.7109375
EEGFz,0.609375
EEGFz,0.7109375
EEGFz,2.5390625
EEGFz,0.8125
EEGFz,0.609375
EEGFz,1.1171875
EEGFz,1.625
EEGFz,0.609375
EEGFz,1.3203125
EEGFz,0.9140625
EEGFz,0.8125
EEGFz,0.609375
EEGFz,0.609375
EEGFz,0.609375
EEGFz,0.609375
EEGFz,0.8125
EEGFz,0.9140625
EEGFz,0.7109375
EEGFz,0.7109375
EEGFz,1.015625
EEGFz,0.7109375
EEGFz,0.609375
EEGFz,0.8125
EEGFz,0.609375
EEGFz,1.21875
EEGFz,0.609375
EEGFz,0.609375
EEGFz,0.7109375
EEGFz,0.7109375
EEGFz,0.8125
EEGFz,0.7109375
EEGFz,0.8125
EEGFz,0.609375
EEGFz,1.21875
EEGFz,0.8125
EEGFz,0.7109375
EEGFz,0.609375
EEGFz,0.609375
EEGFz,2.3359375
EEGFz,0.609375
EEGFz,1.5234375
EEGFz,2.3359375
EEGFz,1.828125
EEGFz,0.9140625
EEGFz,9.0390625
EEGFz,1.625
EEGFz,0.9140625
EEGFz,9.75
EEGFz,8.0234375
EEGFz,2.9453125
EEGFz,0.7109375
EEGFz,8.53125
EEGFz,0.7109375
EEGFz,2.84375
EEGFz,7.8203125
EEGFz,2.84375
EEGFz,18.7890625
EEGFz,1.3203125
EEGFz,0.8125
EEGFz,8.328125
EEGFz,0.7109375
EEGFz,1.5234375
EEGFz,3.1484375
EEGFz,1.21875
EEGFz,3.046875
EEGFz,2.84375
EEGFz,0.609375
EEGFz,0.609375
EEGFz,0.609375
EEGFz,2.4375
EEGFz,0.609375
EEGFz,1.1171875
EEGFz,0.8125
EEGFz,2.84375
EEGFz,0.7109375
EEGFz,4.46875
EEGFz,4.3671875
EEGFz,2.4375
EEGFz,8.0234375
EEGFz,0.7109375
EEGFz,3.9609375
EEGFz,0.7109375
EEGFz,0.7109375
EEGFz,0.8125
EEGFz,1.015625
EEGFz,6.703125
EEGFz,21.125
EEGFz,1.421875
EEGFz,0.609375
EEGFz,9.0390625
EEGFz,3.25
EEGFz,1.421875
EEGFz,1.1171875
EEGFz,4.1640625
EEGFz,0.7109375
EEGFz,0.7109375
EEGFz,5.3828125
EEGFz,3.65625
EEGFz,0.7109375
EEGFz,1.421875
EEGFz,1.21875
EEGFz,1.1171875
EEGFz,1.21875
EEGFz,1.5234375
EEGFz,6.703125
EEGFz,1.3203125
EEGFz,4.875
EEGFz,1.9296875
EEGFz,2.1328125
EEGFz,1.21875
EEGFz,12.0859375
EEGFz,6.703125
EEGFz,2.03125
EEGFz,0.609375
EEGFz,4.3671875
EEGFz,8.53125
EEGFz,10.15625
EEGFz,1.625
EEGFz,3.1484375
EEGFz,0.9140625
EEGFz,3.7578125
EEGFz,4.3671875
EEGFz,0.8125
EEGFz,4.0625
EEGFz,0.7109375
EEGFz,4.875
EEGFz,2.9453125
EEGFz,1.625
EEGF4,6.8046875
EEGF4,0.609375
EEGF4,1.3203125
EEGF4,1.015625
EEGF4,0.609375
EEGF4,2.4375
EEGF4,1.015625
EEGF4,0.8125
EEGF4,2.5390625
EEGF4,1.21875
EEGF4,0.609375
EEGF4,3.7578125
EEGF4,1.5234375
